political,missing_multiplier,time_multiplier,target_multiplier,county_shared,exclude_flagged,year,winner,measure,p05,median,p95,fixed_population
proportional,1.0,1.0,1.0,False,False,2026,Trump/Harris,intensity_ratio,1.372810900919085,2.084887326638582,3.242908720428874,
proportional,1.0,1.0,1.0,False,False,2028,Trump,operating_gw,39.21117878063028,55.42885857237066,77.39328426052413,39252529.0
proportional,1.0,1.0,1.0,False,False,2028,Trump,mw_per_1000_fixed_host_population,0.9989465591027338,1.4121092317993234,1.9716763793875325,39252529.0
proportional,1.0,1.0,1.0,False,False,2028,Trump,mw_per_1000_operating_host_population,2.0631828389269655,2.6998413377309527,3.475250185713905,39252529.0
proportional,1.0,1.0,1.0,False,False,2028,Trump,operating_host_residents_millions,17.07058965,20.5174965,25.0292104,39252529.0
proportional,1.0,1.0,1.0,False,False,2028,Trump,operating_project_count,87.0,119.0,159.0,39252529.0
proportional,1.0,1.0,1.0,False,False,2028,Trump,operating_gw_per_listed_proposal,0.0,0.007774777164164962,0.04648863383308968,39252529.0
proportional,1.0,1.0,1.0,False,False,2028,Harris,operating_gw,31.45962865776584,44.0548680924756,60.61126053438076,81424822.0
proportional,1.0,1.0,1.0,False,False,2028,Harris,mw_per_1000_fixed_host_population,0.38636410722231407,0.5410496088339696,0.7443830891565317,81424822.0
proportional,1.0,1.0,1.0,False,False,2028,Harris,mw_per_1000_operating_host_population,0.5343286175843105,0.7318250698464169,0.9924741796068034,81424822.0
proportional,1.0,1.0,1.0,False,False,2028,Harris,operating_host_residents_millions,53.8429194,60.1250215,66.7988752,81424822.0
proportional,1.0,1.0,1.0,False,False,2028,Harris,operating_project_count,70.0,86.0,104.0,81424822.0
proportional,1.0,1.0,1.0,False,False,2028,Harris,operating_gw_per_listed_proposal,0.0,0.0010034277864849651,0.020012302530869316,81424822.0
proportional,1.0,1.0,1.0,False,False,2028,Trump/Harris,intensity_ratio,1.7977563350564478,2.618075766750005,3.7964292433555986,
proportional,1.0,1.0,1.0,False,False,2030,Trump,operating_gw,71.3532693701906,102.79841988617173,141.862764731312,39252529.0
proportional,1.0,1.0,1.0,False,False,2030,Trump,mw_per_1000_fixed_host_population,1.8178005643965158,2.6188992787234606,3.6141050868674465,39252529.0
proportional,1.0,1.0,1.0,False,False,2030,Trump,mw_per_1000_operating_host_population,2.812750967632996,3.649150781293354,4.721385128931852,39252529.0
proportional,1.0,1.0,1.0,False,False,2030,Trump,operating_host_residents_millions,24.001955900000002,27.977835,32.4377368,39252529.0
proportional,1.0,1.0,1.0,False,False,2030,Trump,operating_project_count,159.0,194.0,222.04999999999973,39252529.0
proportional,1.0,1.0,1.0,False,False,2030,Trump,operating_gw_per_listed_proposal,0.029866897787646517,0.11329488490705192,0.26371742721697755,39252529.0
proportional,1.0,1.0,1.0,False,False,2030,Harris,operating_gw,43.62491398009729,59.48900694602179,78.66186622864268,81424822.0
proportional,1.0,1.0,1.0,False,False,2030,Harris,mw_per_1000_fixed_host_population,0.5357692274733776,0.7306003929123946,0.9660674017640798,81424822.0
proportional,1.0,1.0,1.0,False,False,2030,Harris,mw_per_1000_operating_host_population,0.6432200337675704,0.8483361922196069,1.1098011896541635,81424822.0
proportional,1.0,1.0,1.0,False,False,2030,Harris,operating_host_residents_millions,65.15012755000001,70.14373599999999,73.98828465,81424822.0
proportional,1.0,1.0,1.0,False,False,2030,Harris,operating_project_count,102.0,117.0,128.0,81424822.0
proportional,1.0,1.0,1.0,False,False,2030,Harris,operating_gw_per_listed_proposal,0.005592760148174201,0.03978931747985612,0.11397611045745663,81424822.0
proportional,1.0,1.0,1.0,False,False,2030,Trump/Harris,intensity_ratio,2.591023948330904,3.582238680852066,4.789587201688785,
proportional,1.0,1.0,1.0,False,False,2032,Trump,operating_gw,104.54963335098729,144.30164464663858,185.85175524958854,39252529.0
proportional,1.0,1.0,1.0,False,False,2032,Trump,mw_per_1000_fixed_host_population,2.663513307664515,3.6762381513465954,4.734771490764035,39252529.0
proportional,1.0,1.0,1.0,False,False,2032,Trump,mw_per_1000_operating_host_population,3.5984152237907576,4.6627790429904135,5.8778581827009555,39252529.0
proportional,1.0,1.0,1.0,False,False,2032,Trump,operating_host_residents_millions,27.29612135,30.663486,34.4321468,39252529.0
proportional,1.0,1.0,1.0,False,False,2032,Trump,operating_project_count,193.0,220.0,240.0,39252529.0
proportional,1.0,1.0,1.0,False,False,2032,Trump,operating_gw_per_listed_proposal,0.11203291367759408,0.2650417034883209,0.4738843325249651,39252529.0
proportional,1.0,1.0,1.0,False,False,2032,Harris,operating_gw,53.92379206100973,70.75248866489449,90.67218855331853,81424822.0
proportional,1.0,1.0,1.0,False,False,2032,Harris,mw_per_1000_fixed_host_population,0.662252501589868,0.8689302220997729,1.1135693800266282,81424822.0
proportional,1.0,1.0,1.0,False,False,2032,Harris,mw_per_1000_operating_host_population,0.7577047336748591,0.9760673812815417,1.2485022275144722,81424822.0
proportional,1.0,1.0,1.0,False,False,2032,Harris,operating_host_residents_millions,69.0870961,72.4910665,75.53622895000001,81424822.0
