id,name,county_winner,status,operating_mw_2030_p05,operating_mw_2030_median,operating_mw_2030_p95,mean_operating_mw_2030,probability_operating_2030
wiscasset-proposed-me,Wiscasset Data Center (Old Ferry Road Site),Harris,proposed,0.0,0.0,279.6023543070237,42.734422647818896,0.17875
alterra-marshall-technology-energy-center-mi,Marshall Technology & Energy Center,Trump,proposed,0.0,0.0,393.401183789194,63.30488658060167,0.22
project-cannoli-van-buren-township-wayne-county-mi,Project Cannoli,Harris,proposed,0.0,0.0,496.9382414306651,60.575096219261965,0.12825
verrus-project-flex-lyon-township-oakland-county-mi,Project Flex,Harris,proposed,0.0,0.0,257.2982833699391,36.80746311212779,0.16725
stargate-saline-township-mi,Stargate The Barn Campus,Harris,under_construction,0.0,675.8285136572895,1353.5525559841242,665.0629428003033,0.873
switch-pyramid-campus-grand-rapids-mi,Switch Pyramid Campus,Harris,under_construction,0.0,258.8433611591633,320.0,222.5609215373731,0.87725
thor-equities-augusta-township-mi,Thor Equities Augusta Township Data Center (Form8tion),Harris,cancelled,0.0,0.0,0.0,0.0,0.0
amazon-becker-mn,Amazon Becker Data Center (Suspended),Trump,cancelled,0.0,0.0,0.0,0.0,0.0
google-hermantown-mn,Google Hermantown Data Center Campus,Harris,proposed,0.0,0.0,428.992148716282,57.9414127483902,0.16275
google-skyway-pine-island-mn,Google Project Skyway (Pine Island),Trump,proposed,0.0,0.0,598.5175514569314,98.55224198115577,0.22625
meta-rosemount-mn,Meta Rosemount Data Center,Harris,under_construction,0.0,75.0,75.0,59.8560906817221,0.8695
geronimo-nobles-county-powered-data-park-mn,Nobles County Powered Data Park,Trump,proposed,0.0,0.0,344.08293042740456,59.654345980070495,0.25775
aws-green-new-florence-mo,AWS Project Green Campus,Trump,under_construction,0.0,467.0554602304647,1646.304100403245,593.1563222611138,0.857
cloverleaf-troy-mo,Cloverleaf Troy Campus,Trump,proposed,0.0,0.0,429.0988861425715,83.44845945806881,0.30075
crusoe-warrenton-mo,Crusoe Warrenton Campus,Trump,permitted,0.0,113.52414700546638,769.4218936586813,209.8108905259105,0.57375
google-project-mica-kc-northland-mo,Google Project Mica,Trump,under_construction,0.0,334.4164191750501,500.0,312.0477685180805,0.8695
google-spade-new-florence-mo,Google Project Spade Campus,Trump,under_construction,0.0,603.24004485608,1200.0,594.7246059819815,0.87075
lambda-kansas-city-mo,Lambda Kansas City AI Supercomputer,Trump,under_construction,0.0,100.0,100.0,78.9050738850024,0.8705
meta-kansas-city-northland-mo,Meta Kansas City Northland,Trump,operational,31.051143779518878,318.7107000688485,2826.313115066993,724.2036608362628,1.0
metrobloks-liberty-mo,Metrobloks Liberty Campus,Trump,proposed,0.0,0.0,150.0,22.55521930132125,0.21325
nebius-independence-mo,Nebius AI Factory (Independence),Harris,under_construction,0.0,609.9802074091276,1200.0,601.693746851915,0.869
patmos-kansas-city-mo,Patmos KC Star Building Campus,Harris,operational,35.0,35.0,35.0,34.99993339904584,1.0
lumon-marshfield-mo,Rifle Range Road Data Center,Trump,under_construction,0.0,16.32722663437329,67.59977619768877,23.012987235256887,0.86975
avaio-taurus-brandon-ms,AVAIO Digital Taurus,Trump,under_construction,0.0,116.0,116.0,89.98516888186147,0.87025
aws-project-atlas-madison-county-ms,AWS Project Atlas – Madison County Campus,Trump,under_construction,0.0,532.1309060540667,1000.0,528.7389528841549,0.869
compass-lauderdale-meridian-ms,Compass Datacenters Lauderdale County Hyperscale Campus,Trump,under_construction,0.0,336.2856504807929,500.0,314.9595067541628,0.87475
xai-southaven-ms,xAI Southaven,Trump,operational,1613.8929696065625,1903.194712655436,2000.0,1871.3491775654047,1.0
quantica-bsdi-billings-mt,Big Sky Digital Infrastructure Campus,Trump,proposed,0.0,0.0,612.4122057371306,112.46113477189532,0.24425
aws-richmond-county-nc,Amazon Web Services Richmond County Data Center Campus,Trump,under_construction,0.0,440.8244656638095,1543.0792928971205,551.9671298540511,0.86825
apple-maiden-nc,Apple Maiden Data Center (iCloud),Trump,operational,77.19198894273492,295.6138345795231,1090.827478356806,407.17909332887325,1.0
compass-statesville-nc,Compass Statesville Campus,Trump,proposed,0.0,0.0,392.12841778985694,69.05408858762101,0.2485
deep-river-data-cumnock-lee-county-nc,"Deep River Data AI Data Center (Cumnock, Lee County)",Trump,proposed,0.0,0.0,555.8960659706936,93.91415025745188,0.236
digital-realty-charlotte-nc,Digital Realty Moores Chapel Data Center Campus,Harris,permitted,0.0,134.7861585448524,400.0,149.51651205124796,0.57275
google-lenoir-nc,Google Lenoir Data Center,Trump,operational,43.851575940673996,435.4129060674629,3591.580985549219,938.6325716174847,1.0
impactdata-greensboro-nc,ImpactData Greensboro,Harris,under_construction,0.0,20.0,20.0,16.2992012703742,0.87175
meta-forest-city-nc,Meta Forest City Data Center,Trump,operational,45.13342164624194,198.86835242063114,787.0878053290645,279.25261477011765,1.0
microsoft-person-county-roxboro-nc,Microsoft Person County Mega Park,Trump,permitted,0.0,229.58248374068646,1531.1004530208206,420.18549271007896,0.56725
natelli-new-hill-nc,Natelli New Hill Digital Campus,Harris,cancelled,0.0,0.0,0.0,0.0,0.0
prsm-group-cumberland-county-nc,PRSM Group Cumberland County AI Data Center (undisclosed industrial park),Harris,proposed,0.0,0.0,200.03803944488428,25.575421075738006,0.17525
pointone-lower-moncure-road-lee-county-nc,PointOne Lower Moncure Road Data Center (Lee County),Trump,proposed,0.0,0.0,90.0,15.413347837199563,0.22325
powerhouse-charlotte-nc,PowerHouse Charlotte Campus,Harris,under_construction,0.0,240.51262976681414,300.0,205.8457332345505,0.8635
project-delta-walnut-cove-nc,Project Delta Data Center – Stokes County,Trump,proposed,0.0,0.0,1220.7568662792494,244.16141548447536,0.31775
quiet-data-centers-enfield-halifax-county-nc,Project Q — Quiet Data Centers Enfield (Halifax County),Harris,proposed,0.0,0.0,88.0,10.604119353357328,0.1555
drox-group-rural-hall-forsyth-county-nc,Rural Hall Data Center (The Drox Group),Harris,proposed,0.0,0.0,208.8551606862917,30.52118369649807,0.1705
terra-nexus-custer-avenue-fayetteville-cumberland-county-nc,Terra Nexus Custer Avenue Data Center (Fayetteville),Harris,proposed,0.0,0.0,256.9048469320016,37.09537134493816,0.17675
whitefiber-nc1-madison-nc,WhiteFiber NC-1 AI Data Center Campus,Trump,operational,200.0,200.0,200.0,199.77386037052875,1.0
applied-digital-polaris-forge-1-ellendale-nd,Applied Digital Polaris Forge 1,Trump,under_construction,0.0,293.743776806557,400.0,266.39612242497316,0.88275
applied-digital-polaris-forge-2-harwood-nd,Applied Digital Polaris Forge 2,Trump,under_construction,0.0,232.6418390575461,280.0,196.85198698880617,0.8735
1623-farnam-omaha-ne,1623 Farnam,Harris,operational,41.10707436760841,431.99731966309855,3346.2373646297992,869.669293945894,1.0
binary-net-vault-lincoln-ne,Binary Net The Vault Data Center,Harris,operational,43.84079191825115,413.26896924024777,3442.31892347885,859.2507683674746,1.0
fnts-omaha-ne,First National Technology Solutions Omaha Data Center,Harris,operational,39.00281227315155,411.2985510847466,3179.513511492058,829.1701045850212,1.0
google-nebraska-ai-campus-proposed,Google Nebraska AI Campus (proposed),Trump,proposed,0.0,0.0,674.7898729729151,132.5483011357521,0.282
google-papillion-ne,Google Papillion Data Center,Trump,operational,106.54557963579526,426.9366846997093,1618.3181421912793,587.5168087548527,1.0
h5-la-vista-ne,H5 Data Centers Omaha (La Vista),Trump,operational,20.267757822975348,80.66525824535421,311.2609030445261,111.76637057331021,1.0
lightedge-papillion-ne,LightEdge Omaha Data Center,Trump,operational,41.72601898176038,416.28810397291414,3367.567872436231,867.177108640375,1.0
meta-sarpy-springfield-ne,Meta Sarpy Campus (Springfield expansion),Trump,under_construction,0.0,268.76974379632577,994.0245713075863,351.82322654702364,0.86675
sagebrush-hallam-hyperscale-campus-lancaster-ne,Sagebrush Hallam Hyperscale Campus (proposed),Harris,proposed,0.0,0.0,828.7050684459653,129.83895213242687,0.1885
scott-data-center-omaha-ne,Scott Data Center,Harris,operational,38.55312065916088,403.1999155082394,3487.400075514145,874.9727277291386,1.0
tierpoint-omaha-bellevue-ne,TierPoint Omaha - Bellevue Data Center,Trump,operational,45.21403631211652,411.60262560035187,3147.9163043962403,840.1440796832557,1.0
